,,Race,Gender,,,,,,,,,,,,,,,,,,,,
barry manilow,1978,,,,,,,,,,,,,,,,,,,,,,
barry manilow,1979,,,,,,,,,,,,,,,,,,,,,,
barry manilow,1980,,,,,,,,,,,,,,,,,,,,,,
barry manilow,1981,,,,,,,,,,,,,,,,,,,,,,
Barry McGuire,0,,,,,,,,,,,,,,,,,,,,,,
barry mcguire,1965,,,,,,,,,,,,,,,,,,,,,,
barry white,1973,,,,,,,,,,,,,,,,,,,,,,
barry white,1974,,,,,,,,,,,,,,,,,,,,,,
barry white,1975,,,,,,,,,,,,,,,,,,,,,,
bastille,2014,w,m,,,,,,,,,,,,,,,,,,,,
bay city rollers,1976,,,,,,,,,,,,,,,,,,,,,,
bay city rollers,1976,,,,,,,,,,,,,,,,,,,,,,
bay city rollers,1977,,,,,,,,,,,,,,,,,,,,,,
bazuka,1975,,,,,,,,,,,,,,,,,,,,,,
bb king,1970,,,,,,,,,,,,,,,,,,,,,,
bbmak,2000,w,m,,,,,,,,,,,,,,,,,,,,
beastie boys,1987,,,,,,,,,,,,,,,,,,,,,,
beck,1994,w,m,,,,,,,,,,,,,,,,,,,,
becky g,2014,nw,f,,,,,,,,,,,,,,,,,,,,
bee gees,1971,w,,,,,,,,,,,,,,,,,,,,,
bee gees,1971,w,m,,,,,,,,,,,,,,,,,,,,
bee gees,1975,w,m,,,,,,,,,,,,,,,,,,,,
bee gees,1976,w,,,,,,,,,,,,,,,,,,,,,
bee gees,1976,w,,,,,,,,,,,,,,,,,,,,,
bee gees,1977,w,,,,,,,,,,,,,,,,,,,,,
bee gees,1978,w,,,,,,,,,,,,,,,,,,,,,
bee gees,1978,w,,,,,,,,,,,,,,,,,,,,,
bee gees,1978,w,,,,,,,,,,,,,,,,,,,,,
bee gees,1979,w,,,,,,,,,,,,,,,,,,,,,
bee gees,1979,w,,,,,,,,,,,,,,,,,,,,,
bee gees,1979,,,,,,,,,,,,,,,,,,,,,,
beenie man,2004,nw,m,,,,,,,,,,,,,,,,,,,,
belinda carlisle,1986,,,,,,,,,,,,,,,,,,,,,,
belinda carlisle,1988,,,,,,,,,,,,,,,,,,,,,,
belinda carlisle,1988,,,,,,,,,,,,,,,,,,,,,,
bell biv devoe,1990,,,,,,,,,,,,,,,,,,,,,,
bell biv devoe,1990,,,,,,,,,,,,,,,,,,,,,,
ben e king,1987,,,,,,,,,,,,,,,,,,,,,,
benny mardones,1980,,,,,,,,,,,,,,,,,,,,,,
berlin,1986,,,,,,,,,,,,,,,,,,,,,,
bert kaempfert,1965,,,,,,,,,,,,,,,,,,,,,,
bertie higgins,1982,,,,,,,,,,,,,,,,,,,,,,
bette midler,1973,,,,,,,,,,,,,,,,,,,,,,
bette midler,1973,,,,,,,,,,,,,,,,,,,,,,
bette midler,1980,,,,,,,,,,,,,,,,,,,,,,
bette midler,1989,,,,,,,,,,,,,,,,,,,,,,
bette midler,1991,,,,,,,,,,,,,,,,,,,,,,
better than ezra,1995,,,,,,,,,,,,,,,,,,,,,,
betty wright,1972,,,,,,,,,,,,,,,,,,,,,,
beverly bremers,1972,,,,,,,,,,,,,,,,,,,,,,
beyonce,2004,nw,f,,,,,,,,,,,,,,,,,,,,
beyonce,2004,nw,f,,,,,,,,,,,,,,,,,,,,
beyonce,2007,nw,f,,,,,,,,,,,,,,,,,,,,
beyonce,2009,nw,f,,,,,,,,,,,,,,,,,,,,
beyonce,2009,nw,f,,,,,,,,,,,,,,,,,,,,
